Alterac Pass
46.9%	Tank	Healer	Support	Ranged 	Melee 
45.4%	Tank	Healer	Ranged 	Ranged 	Ranged 
44.4%	Tank	Tank	Healer	Ranged 	Melee 
44.3%	Tank	Healer	Healer	Ranged 	Ranged 
43.6%	Tank	Bruiser	Healer	Healer	Ranged 
43.0%	Bruiser	Healer	Support	Ranged 	Melee 
41.7%	Tank	Healer	Support	Ranged 	Ranged 
40.6%	Bruiser	Healer	Ranged 	Ranged 	Ranged 

Tomb of the Spider Queen
53.1%	Tank	Bruiser	Bruiser	Healer	Ranged 
52.2%	Bruiser	Bruiser	Healer	Ranged 	Ranged 
50.9%	Tank	Bruiser	Healer	Ranged 	Ranged 
49.8%	Tank	Healer	Ranged 	Ranged 	Melee 
49.7%	Tank	Bruiser	Healer	Ranged 	Melee 
49.4%	Tank	Tank	Healer	Ranged 	Ranged 
49.3%	Bruiser	Bruiser	Healer	Ranged 	Melee 
48.0%	Tank	Healer	Ranged 	Ranged 	Ranged 
46.5%	Bruiser	Healer	Ranged 	Ranged 	Melee 
45.9%	Tank	Healer	Ranged 	Melee 	Melee 
45.6%	Bruiser	Healer	Ranged 	Ranged 	Ranged 
43.9%	Tank	Healer	Support	Ranged 	Melee 
43.8%	Tank	Healer	Support	Ranged 	Ranged 
41.3%	Tank	Bruiser	Healer	Support	Ranged 
40.5%	Tank	Healer	Healer	Ranged 	Ranged 

Towers of Doom
55.3%	Bruiser	Bruiser	Healer	Ranged 	Ranged 
53.5%	Bruiser	Healer	Ranged 	Ranged 	Melee 
52.8%	Tank	Healer	Ranged 	Ranged 	Melee 
52.2%	Bruiser	Bruiser	Healer	Ranged 	Melee 
52.0%	Tank	Bruiser	Bruiser	Healer	Ranged 
51.8%	Tank	Bruiser	Healer	Ranged 	Melee 
49.7%	Bruiser	Healer	Ranged 	Ranged 	Ranged 
49.6%	Tank	Bruiser	Healer	Ranged 	Ranged 
49.3%	Tank	Tank	Healer	Ranged 	Ranged 
49.2%	Tank	Tank	Healer	Ranged 	Melee 
48.5%	Tank	Healer	Ranged 	Melee 	Melee 
48.1%	Tank	Healer	Support	Ranged 	Melee 
47.9%	Tank	Bruiser	Healer	Healer	Ranged 
47.4%	Tank	Healer	Ranged 	Ranged 	Ranged 
46.9%	Tank	Bruiser	Healer	Support	Ranged 
46.8%	Tank	Healer	Support	Ranged 	Ranged 
43.7%	Tank	Healer	Healer	Ranged 	Ranged 

Warhead Junction
55.7%	Tank	Bruiser	Bruiser	Healer	Ranged 
52.8%	Bruiser	Bruiser	Healer	Ranged 	Melee 
52.0%	Bruiser	Bruiser	Healer	Ranged 	Ranged 
51.5%	Tank	Tank	Healer	Ranged 	Ranged 
51.2%	Tank	Bruiser	Healer	Ranged 	Ranged 
50.8%	Bruiser	Healer	Ranged 	Ranged 	Melee 
50.7%	Bruiser	Healer	Support	Ranged 	Ranged 
50.6%	Bruiser	Healer	Support	Ranged 	Melee 
50.3%	Tank	Healer	Ranged 	Ranged 	Melee 
50.1%	Tank	Bruiser	Healer	Ranged 	Melee 
49.3%	Bruiser	Bruiser	Bruiser	Healer	Ranged 
48.7%	Tank	Healer	Ranged 	Melee 	Melee 
48.4%	Tank	Tank	Healer	Ranged 	Melee 
48.3%	Bruiser	Healer	Ranged 	Ranged 	Ranged 
48.1%	Tank	Healer	Support	Ranged 	Melee 
48.1%	Bruiser	Bruiser	Healer	Support	Ranged 
47.0%	Tank	Healer	Ranged 	Ranged 	Ranged 
46.9%	Tank	Bruiser	Healer	Support	Melee 
45.0%	Tank	Bruiser	Healer	Support	Ranged 
43.6%	Tank	Healer	Healer	Ranged 	Ranged 
42.1%	Tank	Bruiser	Healer	Healer	Ranged 
41.8%	Tank	Healer	Support	Ranged 	Ranged 
